"Rk","Player","Nation","Pos","Competition","Squad","Age","Born","noventas","Gls","Sh","SoT","SoT%","Sh_noventa","SoT_noventa","G_Sh","G_SoT","Dist","FK","PK","PKatt","xG","npxG","npxG_Sh","G_xG","npG-xG","Pos_main","Pos_secondary"
2029,"Antonin Bobichon","FRA","MFFW","Ligue 1","Angers",26,1995,0.4,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","MF","FW"
530,"Antonio Barragán","ESP","DF","La Liga","Elche",34,1987,5.5,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","DF",""
1536,"Antonio Candreva","ITA","MFFW","Serie A","Sampdoria",34,1987,18.9,6,45,17,"37.8","2.39","0.90",0.13,"0.35",21.2,4,0,0,3.2,3.2,0.07,2.8,"+2.8","MF","FW"
884,"Antonio Puertas","ESP","MFFW","La Liga","Granada",29,1992,9.8,3,11,3,"27.3","1.12","0.31",0.27,"1.00",14.3,0,0,0,1.1,1.1,0.1,1.9,"+1.9","MF","FW"
891,"Antonio Raillo","ESP","DF","La Liga","Mallorca",30,1991,1,0,1,0,"0.0","1.00","0.00",0,NA,17.1,0,0,0,0,0,0.01,0,"0.0","DF",""
371,"Antonio Rüdiger","GER","DF","Premier League","Chelsea",28,1993,19,2,26,7,"26.9","1.37","0.37",0.08,"0.29",17,0,0,0,1.7,1.7,0.07,0.3,"+0.3","DF",""
1859,"Antonio Sanabria","PAR","FW","Serie A","Torino",25,1996,13.1,3,37,13,"35.1","2.82","0.99",0.08,"0.23",12.7,1,0,0,4.5,4.5,0.12,-1.5,"-1.5","FW",""
922,"Antonio Sánchez","ESP","FWMF","La Liga","Mallorca",25,1997,5.8,1,7,2,"28.6","1.21","0.35",0.14,"0.50",22.4,0,0,0,0.7,0.7,0.1,0.3,"+0.3","FW","MF"
939,"Antonio Sivera","ESP","GK","La Liga","Alavés",25,1996,2.1,0,0,0,NA,"0.00","0.00",NA,NA,0,0,0,0,0,0,NA,0,"0.0","GK",""
1924,"Antonio Vacca","ITA","MF","Serie A","Venezia",31,1990,7.4,0,1,0,"0.0","0.13","0.00",0,NA,28,0,0,0,0,0,0.01,0,"0.0","MF",""
